#    radius       xcen       ycen        ell         pa 
        3.0     79.600     25.200      0.400      1.000 
        5.0     79.600     25.200      0.400      1.000 
        7.0     79.600     25.200      0.400      1.000 
        9.0     79.600     25.200      0.400      1.000 
       11.0     79.600     25.200      0.400      1.000 
       13.0     79.600     25.200      0.400      1.000 
       15.0     79.600     25.200      0.400      1.000 
       17.0     79.600     25.200      0.400      1.000 
       19.0     79.600     25.200      0.400      1.000 
       20.0     79.600     25.200      0.400      1.000 
       22.0     79.600     25.200      0.400      1.000 
       24.0     79.600     25.200      0.400      1.000 
       26.0     79.600     25.200      0.400      1.000 
       28.0     79.600     25.200      0.400      1.000 
       30.0     79.600     25.200      0.400      1.000 
       32.0     79.600     25.200      0.400      1.000 
       34.0     79.600     25.200      0.400      1.000 
