#    radius         i1         i2         i3         i4       mean        std 
        8.3     26.649     19.665     33.301     43.146     30.690     8.658
       10.0     23.182     21.735     34.456     40.475     29.962     7.816
       11.7     24.263     24.583     34.293     36.704     29.961     5.604
       13.4     27.294     24.237     31.437     35.595     29.641     4.283
       15.2     26.650     23.046     30.519     33.450     28.416     3.928
       16.9     27.522     22.277     28.959     35.395     28.538     4.675
       18.4     25.638     27.616     29.399     36.576     29.807     4.128
       20.0     28.534     27.924     28.078     34.234     29.693     2.632
       21.2     42.850     24.144     27.928     35.105     32.507     7.152
