#    radius         i1         i2         i3         i4       mean        std 
        8.3    221.618    231.204    414.993    342.419    302.559    80.425
       10.0    153.630    164.197    285.102    230.406    208.334    53.200
       11.7    113.536    114.800    168.457    164.212    140.251    26.130
       13.4     63.041     86.307    119.517    102.948     92.953    20.883
       15.2     49.745     68.492     91.492     77.585     71.829    15.154
       16.9     22.237     51.873     63.119     62.044     49.818    16.518
       18.4     11.028     34.979     47.548     43.702     34.314    14.194
       20.0     10.945     25.421     40.205     38.337     28.727    11.739
       21.2      9.148     18.808     21.535     22.692     18.046     5.327
