#    radius       xcen       ycen        ell         pa 
       10.0     84.783     27.061      0.400     -1.000 
       12.0     84.783     27.061      0.400     -1.000 
       14.0     84.783     27.061      0.400     -1.000 
       16.0     84.783     27.061      0.400     -1.000 
       18.0     84.783     27.061      0.400     -1.000 
       20.0     84.783     27.061      0.400     -1.000 
       22.0     84.783     27.061      0.400     -1.000 
       24.0     84.783     27.061      0.400     -1.000 
       26.0     84.783     27.061      0.400     -1.000 
       28.0     84.783     27.061      0.400     -1.000 
       30.0     84.783     27.061      0.400     -1.000 
       32.0     84.783     27.061      0.400     -1.000 
