#    radius         i1         i2         i3         i4       mean        std 
        5.6     19.597     13.754     34.846     42.656     27.713    11.564
        8.5     24.170     15.801     33.317     38.958     28.061     8.829
       10.4     23.530     18.310     30.639     35.459     26.984     6.564
       12.3     26.139     24.779     27.790     32.408     27.779     2.877
       16.1     28.838     17.509     26.688     32.325     26.340     5.481
       18.1     13.455     21.116     28.925     32.756     24.063     7.423
