#    radius         i1         i2         i3         i4       mean        std 
        5.6    421.121    228.301    563.976    570.812    446.053   139.201
        8.5    145.247    228.004    327.953    249.425    237.657    65.047
       10.4    115.040    149.695    207.497    182.941    163.793    34.829
       12.3     70.169     96.585    129.341    111.779    101.969    21.712
       16.1     30.285     60.799     72.780     58.699     55.641    15.593
       18.1     14.859     52.934     52.204     44.626     41.156    15.527
