#    radius         i1         i2         i3         i4       mean        std 
        5.7     26.473     17.449     36.261     49.078     32.315    11.744
        7.4     28.497     19.506     34.219     45.079     31.825     9.277
        8.3     26.545     19.533     33.567     43.212     30.714     8.757
       10.1     23.089     20.475     33.222     40.526     29.328     8.029
       11.7     24.310     24.563     34.339     36.725     29.984     5.612
       13.4     27.302     24.199     31.481     35.545     29.632     4.282
       15.2     26.705     23.293     30.520     33.613     28.533     3.891
       16.9     27.135     22.223     28.857     35.338     28.388     4.693
