#    radius         i1         i2         i3         i4       mean        std 
        5.7    376.132    337.808    697.347    608.338    504.906   151.852
        7.4    262.333    276.066    492.784    411.462    360.661    95.997
        8.3    221.542    217.267    400.128    342.365    295.325    78.634
       10.1    153.402    193.965    300.422    230.055    219.461    54.039
       11.7    113.288    115.175    168.199    164.105    140.192    26.009
       13.4     61.369     86.687    120.669    100.466     92.298    21.562
       15.2     49.972     66.501     88.258     78.724     70.864    14.316
       16.9     22.254     51.795     63.289     62.523     49.965    16.632
