#    radius         i1         i2         i3         i4       mean        std 
        6.2    306.417    303.518    632.722    587.710    457.592   153.455
        7.4    229.174    229.434    482.511    445.237    346.589   118.023
        8.6    167.086    167.895    364.398    334.408    258.447    91.573
        9.9    130.230    134.498    282.069    248.344    198.785    67.500
       11.0    100.362    108.792    205.239    188.311    150.676    46.581
       12.4     74.936     81.731    150.672    139.382    111.680    33.670
