#    radius         i1         i2         i3         i4       mean        std 
        6.2     29.233     20.612     39.856     57.583     36.821    13.789
        7.4     29.165     22.029     39.645     54.192     36.258    12.102
        8.6     29.291     23.753     37.938     51.202     35.546    10.357
        9.9     28.010     24.987     39.438     47.775     35.052     9.111
       11.0     30.471     25.544     39.065     45.521     35.150     7.698
       12.4     30.245     25.638     38.676     43.628     34.547     7.025
