#    radius       xcen       ycen        ell         pa 
        3.0     84.783     27.061      0.600     -1.000 
        5.0     84.783     27.061      0.600     -1.000 
        7.0     84.783     27.061      0.600     -1.000 
        9.0     84.783     27.061      0.600     -1.000 
       10.0     84.783     27.061      0.600     -1.000 
       12.0     84.783     27.061      0.600     -1.000 
       14.0     84.783     27.061      0.600     -1.000 
       16.0     84.783     27.061      0.600     -1.000 
       18.0     84.783     27.061      0.600     -1.000 
       20.0     84.783     27.061      0.600     -1.000 
       22.0     84.783     27.061      0.600     -1.000 
       24.0     84.783     27.061      0.600     -1.000 
