#    radius         i1         i2         i3         i4       mean        std 
        6.2     29.185     20.574     39.792     57.557     36.777    13.794
        7.2     29.412     24.210     43.191     55.256     38.017    12.131
        8.7     29.236     23.569     37.803     51.160     35.442    10.394
        9.9     28.043     24.895     39.305     47.857     35.025     9.142
       11.0     30.498     25.559     39.059     45.409     35.131     7.651
       12.4     30.337     25.190     38.054     43.788     34.342     7.120
       14.0     30.842     23.674     35.269     40.749     32.634     6.251
       15.3     32.952     24.457     33.693     37.494     32.149     4.764
