#    radius         i1         i2         i3         i4       mean        std 
        6.2    307.131    304.017    633.041    588.683    458.218   153.451
        7.2    237.871    269.113    514.268    460.444    370.424   118.984
        8.7    165.830    166.192    362.097    332.989    256.777    91.348
        9.9    129.602    133.003    280.949    247.829    197.846    67.577
       11.0    100.942    109.225    205.921    188.159    151.062    46.497
       12.4     75.712     87.921    155.550    140.747    114.983    33.853
       14.0     56.503     72.735    119.792    106.716     88.936    25.409
       15.3     43.145     59.739     94.284     88.362     71.383    20.891
