#    radius       xcen       ycen        ell         pa 
        9.0     77.000     43.000      0.400      1.000 
       14.0     77.000     43.000      0.400      1.000 
       19.0     77.000     43.000      0.400      1.000 
       24.0     77.000     43.000      0.400      1.000 
       25.0     77.000     43.000      0.400      1.000 
       30.0     77.000     43.000      0.400      1.000 
       35.0     77.000     43.000      0.400      1.000 
       40.0     77.000     43.000      0.400      1.000 
