#    radius         i1         i2         i3         i4       mean        std 
        6.0     25.523     11.376     35.203     41.556     28.414    11.374
        7.0     25.653     10.036     32.027     38.619     26.584    10.597
        9.0     24.181     14.809     30.154     35.696     26.210     7.740
       13.0     24.794     20.899     25.782     30.314     25.447     3.350
       15.0     27.393     19.822     24.759     32.628     26.150     4.623
       17.0     26.581     21.128     26.064     29.654     25.857     3.056
