#    radius         i1         i2         i3         i4       mean        std 
        6.0    183.744    495.992    585.430    374.346    409.878   150.527
        7.0    149.533    283.330    401.601    270.504    276.242    89.237
        9.0     89.667    178.075    248.145    149.578    166.366    56.986
       13.0     56.514     91.537    115.600     85.748     87.350    21.030
       15.0     46.375     70.654     80.743     63.295     65.267    12.543
       17.0     21.851     59.472     59.988     49.225     47.634    15.493
