#    radius         i1         i2         i3         i4       mean        std 
        4.0    558.616    403.573    961.554    895.535    704.820   231.522
        5.7    376.469    330.417    690.109    608.447    501.360   151.586
        7.4    262.188    292.857    504.357    411.568    367.743    96.610
        8.3    221.836    215.826    399.720    342.343    294.931    78.786
       10.0    151.923    151.206    279.499    230.812    203.360    54.582
       11.7    113.846    119.538    175.234    165.250    143.467    27.082
       13.4     62.680     86.246    119.702    102.416     92.761    21.014
       15.2     50.599     66.833     88.648     79.249     71.332    14.253
       16.9     22.015     51.747     63.611     62.098     49.868    16.716
