#    radius         i1         i2         i3         i4       mean        std 
        4.0     25.494     10.303     42.350     66.439     36.146    20.842
        5.7     26.425     17.206     36.355     49.087     32.268    11.838
        7.4     28.865     19.701     33.887     45.017     31.868     9.138
        8.3     26.391     19.454     33.506     43.219     30.642     8.798
       10.0     24.375     20.911     33.067     40.304     29.664     7.573
       11.7     24.656     24.643     34.045     36.614     29.989     5.417
       13.4     27.276     24.290     31.432     35.572     29.643     4.260
       15.2     26.650     23.316     30.454     33.581     28.501     3.871
       16.9     27.008     22.186     29.251     35.413     28.465     4.755
