#    radius         i1         i2         i3         i4       mean        std 
       38.1     86.666     86.728     89.204     81.711     86.077     2.721
       64.3     88.288     88.292     82.642     81.107     85.082     3.253
       77.2     87.469     83.611     81.064     86.850     84.748     2.583
      124.4     79.930     84.577     84.640     85.856     83.751     2.264
