#    radius         i1         i2         i3         i4       mean        std 
        9.4      0.707      0.758      1.090      0.968      0.881     0.155
       10.9      0.638      0.687      0.956      0.859      0.785     0.128
       12.2      0.583      0.625      0.851      0.779      0.709     0.110
       13.4      0.539      0.578      0.778      0.706      0.650     0.096
       14.8      0.491      0.510      0.694      0.626      0.580     0.084
       15.5      0.463      0.446      0.620      0.594      0.531     0.077
       16.8      0.421      0.447      0.580      0.546      0.499     0.066
       18.0      0.395      0.421      0.528      0.500      0.461     0.055
       19.3      0.364      0.386      0.490      0.454      0.423     0.051
       23.1      0.209      0.228      0.318      0.315      0.268     0.050
       24.5      0.211      0.238      0.311      0.304      0.266     0.043
